epoch,train_loss,validation_loss,dice_red,dice_green,dice_blue,dice_average,iou_red,iou_green,iou_blue,iou_average,accuracy_red,accuracy_green,accuracy_blue,accuracy_average,fpr_red,fpr_green,fpr_blue,fpr_average,fnr_red,fnr_green,fnr_blue,fnr_average,precision_red,precision_green,precision_blue,precision_average,recall_red,recall_green,recall_blue,recall_average
1,17.534341557417065,0.6819189875386655,0.21772115099965855,0.41424826490745115,0.2971461271302084,0.30970518776540007,0.19267968540446143,0.3597921524824721,0.27773814506075356,0.2767366698283828,0.99783550822333,0.9948912463831098,0.9986999108550254,0.9971422439210871,0.0003564143255388945,0.0012572106380104558,0.0005331589167367332,0.0007155946445431602,0.26603920724284785,0.3223958002047592,0.13711637986844846,0.24185046704297655,0.29968313839328425,0.5394692337245084,0.34487387504470485,0.3946754255991303,0.2172959147209532,0.40002748587828,0.32420599678259215,0.31384314077623776
2,5.1422417897265404,0.590764272492379,0.2507763332530354,0.43109748437163536,0.29180806958943273,0.3245606404007151,0.24127792541900378,0.39786214774914,0.2682082944371727,0.3024494629562571,0.997673481367947,0.995740623956316,0.9986340396859673,0.9973494015382917,0.001936765268622908,0.0014826991932801485,0.0001874446700977193,0.0012023030803800466,0.1261924010900299,0.25933527293499936,0.17432679118735067,0.18661816049827618,0.27450323858287895,0.5372582968701137,0.38726915737216394,0.3996769045845846,0.35714271915762613,0.46308801515718523,0.2869955872216921,0.36907545083694243
3,4.331262465799227,0.4612143982667476,0.25875945958528623,0.4758569028940094,0.3213984350140175,0.3520049394181605,0.2332514969820387,0.44091507457615287,0.30359973750087654,0.32592211161436657,0.9985327580001917,0.9965439900923311,0.9986813436733203,0.9979193820042557,0.00025791048915635564,0.0011415151726151033,0.0010509114389391512,0.0008167790584501632,0.23317697393090536,0.22830222279168247,0.07890935464019186,0.18012952034393054,0.3491692784127225,0.5748284529434161,0.33780875902497365,0.42060217395257415,0.2501581461911791,0.4941210602776388,0.3824130218015628,0.37556408797757007
4,3.899311385117471,0.4135280961636454,0.2776538500290238,0.49193256055371143,0.3340516339861945,0.36787935857022747,0.2553349829624208,0.460262552406011,0.31522279810369686,0.3436067869489113,0.9987597318177812,0.9967127274931147,0.9990451603793027,0.9981725497192211,0.00030544870977781795,0.0016399228034980511,0.0005503198667560191,0.0008318971546910954,0.2024590599068095,0.18268133247836252,0.0966742949120784,0.16060490043980352,0.35067203557223414,0.5489989890811149,0.36590608318200274,0.42185904772094124,0.28087605988041736,0.5397419480795271,0.36464808161339063,0.39508871114655825
5,3.6240784800611436,0.42947417637333274,0.2714670367455215,0.48468839921308365,0.3284245757909303,0.3615266821357641,0.24760849891083964,0.4593335041839085,0.3114524875464064,0.3394648392548722,0.9987076219548,0.99676855092638,0.9988133679614978,0.9980965316965339,0.000396551314950332,0.001371042031187857,0.0009856688982304814,0.0009177540994008605,0.21617349722747053,0.19517636349361933,0.06475147338102707,0.15870045008284323,0.35895948262696853,0.5668036663130428,0.3379556700754701,0.42123962118384545,0.2671616214714693,0.5272469199105595,0.3965709028619059,0.3969931595780876
6,3.2887607468292117,0.3631973257288337,0.2809123452124971,0.5164999322275098,0.3414254267229123,0.3796125777651755,0.2500202317586106,0.4894979063714488,0.3244472825795077,0.3546551522913943,0.9988899458660169,0.9970940887258294,0.999095125144787,0.9983597404501411,0.0002211027728121275,0.001922798103631966,0.0005917389817624824,0.0009118799850072586,0.22038196395622212,0.13149982883354253,0.08608637155776613,0.14598939274803976,0.3687865546580111,0.5476652608158883,0.36876610340027327,0.428405981385306,0.262953154156717,0.5909234559937809,0.3752360050932745,0.4097042190894652
7,3.1020558113232255,0.3535342747345567,0.30551596220289723,0.5207721299669715,0.3383468434716878,0.3882116548131021,0.2878054167782323,0.4939556701129742,0.31776377759622726,0.3665082950270578,0.9989812561635221,0.9970492861244116,0.9991540460104353,0.9983948830808147,0.0005513095279587851,0.0019492569452758586,0.00021947550589318147,0.0009066806909931677,0.14673671637023433,0.13254978876100498,0.12101308164301883,0.133433198242375,0.346801954206456,0.5560246123356766,0.3940168053246616,0.432281134503611,0.33659840517499473,0.5898734967360336,0.3403092954265937,0.42226040899083855
8,3.020291442517191,0.33588932803831995,0.2879166847534394,0.5249338625522142,0.3433625169014663,0.38540436578600595,0.2557266302657931,0.48986304810877596,0.32405553105172147,0.3565484124622988,0.9989869889248623,0.9973877715260795,0.999054997824551,0.998476609085383,0.0002258493833742863,0.0007836789107264093,0.0007148198593732262,0.0005747827327171906,0.21490046557750594,0.1896819414549999,0.0688988050822629,0.15782707494296386,0.36986563714702475,0.6132863756645931,0.3575822084807278,0.44691142205441936,0.2684346571397246,0.5327413420328934,0.39242357216524276,0.39786653069967637
9,2.8289576797978953,0.3144426003564149,0.30963527419593895,0.5222748705510343,0.35119997031903,0.3943700482336323,0.29287724464796905,0.4872396002324779,0.3336879492140888,0.3712682770879081,0.9990542129184423,0.9974493484818534,0.9992562103807257,0.998586612471034,0.0004700937414976109,0.0008361453904634279,0.00035459648757607917,0.0005536118873494437,0.15196305831496634,0.1906841809160254,0.09239905578701683,0.14501543468638753,0.3614047412457091,0.6021960970391048,0.3859941664706455,0.44986501001240164,0.3313720601328303,0.5317391066738729,0.368923320696595,0.4106781686959642
10,2.7199058204423636,0.312824496999383,0.31601856514978943,0.5346356754222613,0.3521713977784253,0.4009418899423621,0.2979080265157678,0.4959378517075871,0.33253946314367017,0.37546179033397287,0.9990761527854405,0.9974538851320074,0.9992384173896875,0.9985895022917329,0.0005325988182612286,0.0006782181483818993,0.0002143043547108759,0.0004750404513788964,0.13213922778207265,0.188309971871001,0.10403581733783979,0.14149500973773807,0.3479681696449773,0.6177868344140857,0.39618599833397383,0.4539803484182679,0.3511958909168672,0.5341133123703217,0.357286559564344,0.4141986011789086
